Drive name:	MOTOR
Drive model:	ACS880-01-034A-5 (811)
Firmware:	AINF6 v2.90
Group	GroupName	Index	Name	Value	ValueName	Min	Max	Unit	
22	Speed reference selection	83	Speed reference act 3	0		-30000	30000	rpm
22	Speed reference selection	84	Speed reference act 4	0		-30000	30000	rpm
22	Speed reference selection	85	Speed reference act 5	0		-30000	30000	rpm
22	Speed reference selection	86	Speed reference act 6	0		-30000	30000	rpm
22	Speed reference selection	87	Speed reference act 7	0		-30000	30000	rpm
23	Speed reference ramp	1	Speed ref ramp input	0		-30000	30000	rpm
23	Speed reference ramp	2	Speed ref ramp output	0		-30000	30000	rpm
23	Speed reference ramp	11	Ramp set selection	0	Acc/Dec time 1	0	4294967295	NoUnit
23	Speed reference ramp	12	Acceleration time 1	0.18		0	1800	s
23	Speed reference ramp	13	Deceleration time 1	0.18		0	1800	s
23	Speed reference ramp	14	Acceleration time 2	60		0	1800	s
23	Speed reference ramp	15	Deceleration time 2	60		0	1800	s
23	Speed reference ramp	16	Shape time acc 1	0		0	1800	s
23	Speed reference ramp	17	Shape time acc 2	0		0	1800	s
23	Speed reference ramp	18	Shape time dec 1	0		0	1800	s
23	Speed reference ramp	19	Shape time dec 2	0		0	1800	s
23	Speed reference ramp	20	Acc time jogging	60		0	1800	s
23	Speed reference ramp	21	Dec time jogging	60		0	1800	s
23	Speed reference ramp	23	Emergency stop time	3		0	1800	s
23	Speed reference ramp	24	Speed ramp in zero source	1	Inactive	0	4294967295	NoUnit
23	Speed reference ramp	26	Ramp out balancing enable	0	Not selected	0	4294967295	NoUnit
23	Speed reference ramp	27	Ramp out balancing ref	0		-30000	30000	rpm
23	Speed reference ramp	28	Variable slope enable	0	Off	0	4294967295	NoUnit
23	Speed reference ramp	29	Variable slope rate	50		2	30000	ms
23	Speed reference ramp	39	Follower speed correction out	0		-30000	30000	rpm
23	Speed reference ramp	40	Follower speed correction enable	0	Not selected	0	4294967295	NoUnit
23	Speed reference ramp	41	Follower speed correction gain	1		0	100	%
